triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
4_2_22999_looked	116	4	William Henry Blore	agent	looked	look	22999	False	m	2	Philip Lombard	patient	m	William Henry Blore	looked	Philip Lombard	False		False						
4_6_23135_viewed	117	4	William Henry Blore	agent	viewed	view	23135	False	m	6	John Gordon Macarthur	patient	m	William Henry Blore	viewed	John Gordon Macarthur	False		False						
2_0_23407_thank	118	2	Philip Lombard	agent	thank	thank	23407	False	m	0	Lawrence John Wargrave	patient	m	Philip Lombard	thank	William Henry Blore	True	"patient: ""Lawrence John Wargrave"" → ""William Henry Blore"""	False						
3_0_23461_turned	119	3	Edward George Armstrong	agent	turned	turn	23461	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	turned	Lawrence John Wargrave	False		False						
8_0_23481_have	120	8	Thomas Rogers	agent	have	have	23481	False	m	0	Lawrence John Wargrave	patient	m	Thomas Rogers	have	Edward George Armstrong	True	"patient: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
8_0_23547_have	121	8	Thomas Rogers	agent	have	have	23547	False	m	0	Lawrence John Wargrave	patient	m	Thomas Rogers	have	Edward George Armstrong	True	"patient: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
3_8_23565_entered	122	3	Edward George Armstrong	agent	entered	enter	23565	False	m	8	Thomas Rogers	patient	m	Edward George Armstrong	entered	INCORRECT_TRIPLE	True	"patient: ""INCORRECT_TRIPLE ⁠"" → ""INCORRECT_TRIPLE"""	False						
8_3_23614_followed	123	8	Thomas Rogers	agent	followed	follow	23614	False	m	3	Edward George Armstrong	patient	m	Thomas Rogers	followed	Edward George Armstrong	False		False						
8_3_23617_shut	124	8	Thomas Rogers	agent	shut	shut	23617	False	m	3	Edward George Armstrong	patient	m	Thomas Rogers	shut	INCORRECT_TRIPLE ⁠	True	"patient: ""Edward George Armstrong"" → ""INCORRECT_TRIPLE ⁠"""	False						
0_8_23895_believe	125	0	Lawrence John Wargrave	agent	believe	believe	23895	True	m	8	Thomas Rogers	patient	m	Edward George Armstrong	believe	Thomas Rogers	True	"agent: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
5_1_23932_suggested	126	5	Emily Brent	agent	suggested	suggest	23932	False	f	1	Vera Elizabeth Claythorne	patient	f	Emily Brent	suggested	Vera Elizabeth Claythorne	False		False						
1_5_24470_said	128	1	Vera Elizabeth Claythorne	agent	said	say	24470	False	f	5	Emily Brent	patient	f	Vera Elizabeth Claythorne	said	Emily Brent	False		False						
5_0_24570_understand	130	5	Emily Brent	agent	understand	understand	24570	False	f	0	Lawrence John Wargrave	patient	m	Emily Brent	understand	Vera Elizabeth Claythorne	True	"patient: ""Lawrence John Wargrave"" → ""Vera Elizabeth Claythorne"""	False						
5_17_24911_keep	131	5	Emily Brent	agent	keep	keep	24911	True	f	17	Beatrice Taylor	patient	f	Emily Brent	keep	Beatrice Taylor	False		False						
5_17_25081_said	133	5	Emily Brent	agent	said	say	25081	False	f	17	Beatrice Taylor	patient	f	Emily Brent	said	Beatrice Taylor	False		False						
5_1_25120_turned	134	5	Emily Brent	agent	turned	turn	25120	False	f	1	Vera Elizabeth Claythorne	patient	f	Emily Brent	turned	Vera Elizabeth Claythorne	False		False						
3_0_25318_speak	135	3	Edward George Armstrong	agent	speak	speak	25318	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	speak	Philip Lombard	True	"patient: ""Lawrence John Wargrave"" → ""Philip Lombard"""	False						
0_4_25459_accept	136	0	Lawrence John Wargrave	agent	accept	accept	25459	False	m	4	William Henry Blore	patient	m	Edward George Armstrong	accept	William Henry Blore	True	"agent: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
3_8_25565_asked	137	3	Edward George Armstrong	agent	asked	ask	25565	False	m	8	Thomas Rogers	patient	m	Edward George Armstrong	asked	Thomas Rogers	False		False						
3_1_25751_beg	138	3	Edward George Armstrong	agent	beg	beg	25751	False	m	1	Vera Elizabeth Claythorne	patient	f	Edward George Armstrong	beg	Philip Lombard	True	"patient: ""Vera Elizabeth Claythorne"" → ""Philip Lombard"""	False						
0_2_26077_tell	139	0	Lawrence John Wargrave	agent	tell	tell	26077	False	m	2	Philip Lombard	patient	m	Edward George Armstrong	tell	Philip Lombard	True	"agent: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
3_2_26254_prompted	140	3	Edward George Armstrong	agent	prompted	prompt	26254	False	m	2	Philip Lombard	patient	m	Edward George Armstrong	prompted	Philip Lombard	False		False						
2_7_26317_believe	141	2	Philip Lombard	agent	believe	believe	26317	False	m	7	Anthony James Marston	patient	m	Philip Lombard	believe	Anthony James Marston	False		False						
2_9_26336_believe	142	2	Philip Lombard	agent	believe	believe	26336	False	m	9	Ethel Rogers	patient	f	Philip Lombard	believe	Ethel Rogers	False		False						
8_9_26358_put	143	8	Thomas Rogers	agent	put	put	26358	False	m	9	Ethel Rogers	patient	f	Thomas Rogers	put	Ethel Rogers	False		False						
3_0_26403_give	144	3	Edward George Armstrong	agent	give	give	26403	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	give	Philip Lombard	True	"patient: ""Lawrence John Wargrave"" → ""Philip Lombard"""	False						
8_3_26420_given	145	8	Thomas Rogers	agent	given	give	26420	False	m	3	Edward George Armstrong	patient	m	Thomas Rogers	given	Edward George Armstrong	False		False						
2_3_26565_took	147	2	Philip Lombard	agent	took	take	26565	False	m	3	Edward George Armstrong	patient	m	Philip Lombard	took	Edward George Armstrong	False		False						
1_5_28418_avoided	149	1	Vera Elizabeth Claythorne	agent	avoided	avoid	28418	False	f	5	Emily Brent	patient	f	Vera Elizabeth Claythorne	avoided	Emily Brent	False		False						
1_5_28459_thought	150	1	Vera Elizabeth Claythorne	agent	thought	think	28459	False	f	5	Emily Brent	patient	f	Vera Elizabeth Claythorne	thought	Emily Brent	False		False						
1_0_28541_looked	151	1	Vera Elizabeth Claythorne	agent	looked	look	28541	False	f	0	Lawrence John Wargrave	patient	m	Vera Elizabeth Claythorne	looked	Lawrence John Wargrave	False		False						
6_1_28631_stirred	152	6	John Gordon Macarthur	agent	stirred	stir	28631	False	m	1	Vera Elizabeth Claythorne	patient	f	John Gordon Macarthur	stirred	Vera Elizabeth Claythorne	False		False						
6_1_28658_stared	153	6	John Gordon Macarthur	agent	stared	star	28658	False	m	1	Vera Elizabeth Claythorne	patient	f	John Gordon Macarthur	stared	Vera Elizabeth Claythorne	False		False						
1_6_28704_sat	154	1	Vera Elizabeth Claythorne	agent	sat	sit	28704	False	f	6	John Gordon Macarthur	patient	m	Vera Elizabeth Claythorne	sat	John Gordon Macarthur	False		False						
1_0_28942_understand	155	1	Vera Elizabeth Claythorne	agent	understand	understand	28942	True	f	0	Lawrence John Wargrave	patient	m	Vera Elizabeth Claythorne	understand	John Gordon Macarthur	True	"patient: ""Lawrence John Wargrave"" → ""John Gordon Macarthur"""	False						
6_20_28970_loved	156	6	John Gordon Macarthur	agent	loved	love	28970	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	False		False						
6_20_28974_loved	157	6	John Gordon Macarthur	agent	loved	love	28974	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	False		False						
6_20_28999_loved	158	6	John Gordon Macarthur	agent	loved	love	28999	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	False		False						
6_20_29037_loved	159	6	John Gordon Macarthur	agent	loved	love	29037	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	False		False						
6_19_29087_sent	160	6	John Gordon Macarthur	agent	sent	send	29087	False	m	19	Arthur Richmond	patient	m	John Gordon Macarthur	sent	Arthur Richmond	True	"agent: """" → ""John Gordon Macarthur""; patient: """" → ""Arthur Richmond"""	False						
6_19_29087_sent	161	6	John Gordon Macarthur	agent	sent	send	29087	False	m	19	Arthur Richmond	patient	m	John Gordon Macarthur	sent	Arthur Richmond	True	"agent: """" → ""John Gordon Macarthur""; patient: """" → ""Arthur Richmond"""	False						
6_20_29225_know	162	6	John Gordon Macarthur	agent	know	know	29225	True	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	know	Leslie Macarthur	False		False						
6_20_29240_reach	163	6	John Gordon Macarthur	agent	reach	reach	29240	True	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	reach	Leslie Macarthur	False		False						
4_3_29392_found	164	4	William Henry Blore	agent	found	find	29392	False	m	3	Edward George Armstrong	patient	m	William Henry Blore	found	Edward George Armstrong	False		False						
4_3_29397_left staring	165	4	William Henry Blore	agent	left staring	leave star	29397	False	m	3	Edward George Armstrong	patient	m	William Henry Blore	left staring	Edward George Armstrong	False		False						
4_6_29481_thinking	166	4	William Henry Blore	agent	thinking	think	29481	False	m	6	John Gordon Macarthur	patient	m	Edward George Armstrong	thinking	John Gordon Macarthur	True	"agent: ""William Henry Blore"" → ""Edward George Armstrong"""	False						
3_6_29569_studied	167	3	Edward George Armstrong	agent	studied	study	29569	True	m	6	John Gordon Macarthur	patient	m	Edward George Armstrong	studied	John Gordon Macarthur	False		False						
4_2_29798_trust	168	4	William Henry Blore	agent	trust	trust	29798	True	m	2	Philip Lombard	patient	m	William Henry Blore	trust	Philip Lombard	False		False						
3_8_30202_say	169	3	Edward George Armstrong	agent	say	say	30202	False	m	8	Thomas Rogers	patient	m	Edward George Armstrong	say	Thomas Rogers	False		False						
3_4_30350_grasped	170	3	Edward George Armstrong	agent	grasped	grasp	30350	False	m	4	William Henry Blore	patient	m	Edward George Armstrong	grasped	William Henry Blore	False		False						
4_9_30986_said	171	4	William Henry Blore	agent	said	say	30986	False	m	9	Ethel Rogers	patient	f	William Henry Blore	said	Ethel Rogers	False		False						
new_1774608073294_wjgtp	-1		John Gordon Macarthur	agent	thinking	thinking		False			Leslie Macarthur	patient		John Gordon Macarthur	thinking	Leslie Macarthur	True	new triple	True	82038	82040	82071	82079	82083	82086
