surface_form,candidate_id,candidate_name,score,occurrences,status
A bumblebee,,,0.0,1,unresolved
A big bear,,,0.0,1,unresolved
One little Indian boy,,,0.0,4,unresolved
boatman,,,0.0,1,unresolved
local man,,,0.0,1,unresolved
old gentleman,,,0.0,2,unresolved
Harley Street ones,,,0.0,1,unresolved
suave personage,,,0.0,1,unresolved
Aloud,,,0.0,1,unresolved
Very vague woman,,,0.0,1,unresolved
Undependable,,,0.0,1,unresolved
His mind,,,0.0,1,unresolved
the tightlipped old maid,,,0.0,1,unresolved
the girl,,,0.0,2,unresolved
cold-blooded young hussy,,,0.0,1,unresolved
Odd creature,,,0.0,1,unresolved
Respectable pair,,,0.0,1,unresolved
queer chap,,,0.0,1,unresolved
panther,,,0.0,2,unresolved
A beast of prey,,,0.0,1,unresolved
The Lord,2.0,Philip Lombard,72.73,2,review
the wicked,,,0.0,1,unresolved
The wicked,,,0.0,1,unresolved
Tony,7.0,Anthony James Marston,72.73,2,review
Funny,,,0.0,3,unresolved
female figure,,,0.0,1,unresolved
The Voice,,,0.0,2,unresolved
Ladies and gentlemen,,,0.0,1,unresolved
high clear voice,,,0.0,1,unresolved
Emily Caroline Brent,5.0,Emily Brent,70.97,1,review
John and Lucy Combes,23.0,Lucy Combes,70.97,3,review
It wasn't one of us,,,0.0,1,unresolved
gramophone,,,0.0,1,unresolved
old-fashioned type,,,0.0,1,unresolved
Who the devil,,,0.0,1,unresolved
Madam,,,0.0,3,unresolved
Some one,,,0.0,4,unresolved
gasping woman,,,0.0,1,unresolved
The spirit,,,0.0,1,unresolved
my wife,,,0.0,3,unresolved
Swan Song,,,0.0,1,unresolved
so did the judge,0.0,Lawrence John Wargrave,71.43,1,review
Every one,,,0.0,3,unresolved
Several of the men,,,0.0,1,unresolved
the man,,,0.0,5,unresolved
I.,,,0.0,2,unresolved
Nothing,,,0.0,1,unresolved
H'm,,,0.0,3,unresolved
everybody,,,0.0,2,unresolved
owner of this house,,,0.0,1,unresolved
the old horse,,,0.0,1,unresolved
A colleague of mine,,,0.0,1,unresolved
that colleague,,,0.0,1,unresolved
Haven't,,,0.0,2,unresolved
An apparently disembodied voice,,,0.0,1,unresolved
Cat,,,0.0,1,unresolved
you swine,,,0.0,1,unresolved
You gentlemen,,,0.0,1,unresolved
guest,,,0.0,1,unresolved
Una Nancy,37.0,Owen,78.26,1,review
"say, U.N. Owen",37.0,Owen,77.78,1,review
madman,,,0.0,5,unresolved
homicidal lunatic,,,0.0,1,unresolved
that person,36.0,Elsie MacPherson,75.0,3,review
elderly woman,,,0.0,3,unresolved
Guilty,,,0.0,1,unresolved
The hooded reptilian,,,0.0,1,unresolved
The fellow,,,0.0,1,unresolved
the Coroner,,,0.0,1,unresolved
his mother,,,0.0,1,unresolved
my dear,,,0.0,5,unresolved
Fellow,,,0.0,1,unresolved
A madman,,,0.0,1,unresolved
Best woman in the world,,,0.0,1,unresolved
Caesar,,,0.0,1,unresolved
Lombard spoke.,2.0,Philip Lombard,74.07,1,review
bush,,,0.0,1,unresolved
pukka sahib,,,0.0,1,unresolved
Beastly nuisance,,,0.0,1,unresolved
Young men like you,,,0.0,1,unresolved
Speed,,,0.0,1,unresolved
My wife,,,0.0,1,unresolved
We,,,0.0,10,unresolved
police officer,,,0.0,1,unresolved
delicate man,,,0.0,1,unresolved
crook,,,0.0,1,unresolved
night watchman,,,0.0,1,unresolved
The thing,,,0.0,1,unresolved
patient,,,0.0,4,unresolved
the surgeon,,,0.0,1,unresolved
Drunk,,,0.0,1,unresolved
drunk,,,0.0,1,unresolved
Poor devil,,,0.0,1,unresolved
The Sister,,,0.0,1,unresolved
Nobody,,,0.0,2,unresolved
Unknown host,,,0.0,1,unresolved
this person,36.0,Elsie MacPherson,75.0,1,review
My God,,,0.0,6,unresolved
That young Norse God,,,0.0,1,unresolved
Healthy young men,,,0.0,1,unresolved
dead man,,,0.0,2,unresolved
the fellow,,,0.0,2,unresolved
The physician,,,0.0,1,unresolved
The others,,,0.0,3,unresolved
Each of them,,,0.0,1,unresolved
The jury,,,0.0,1,unresolved
the prisoner,,,0.0,1,unresolved
he'd,,,0.0,1,unresolved
him,,,0.0,11,unresolved
Her heartshaped face,,,0.0,1,unresolved
her letter to Richmond,19.0,Arthur Richmond,80.0,1,review
her husband,,,0.0,6,unresolved
Richmond's last leave,,,0.0,1,unresolved
Liar,,,0.0,1,unresolved
Stealer of another man,,,0.0,1,unresolved
Quite a young chap,,,0.0,1,unresolved
that boy,,,0.0,1,unresolved
officers,,,0.0,1,unresolved
commanding officer,,,0.0,1,unresolved
David,,,0.0,1,unresolved
Uriah,,,0.0,1,unresolved
Everybody,,,0.0,1,unresolved
a hidden voice,,,0.0,1,unresolved
That charming girl,,,0.0,1,unresolved
the voice,,,0.0,1,unresolved
Some madman,,,0.0,1,unresolved
Tom Brent,5.0,Emily Brent,82.35,1,review
parsons,7.0,Anthony James Marston,71.43,1,review
Crazy,,,0.0,1,unresolved
Wind,,,0.0,1,unresolved
The decorous,,,0.0,1,unresolved
The moonlight,,,0.0,1,unresolved
I love you,,,0.0,2,unresolved
Queer,,,0.0,3,unresolved
rich man,,,0.0,1,unresolved
A puny child,,,0.0,1,unresolved
The kind of child,,,0.0,1,unresolved
Sister,,,0.0,3,unresolved
A young probationer,,,0.0,1,unresolved
nurse,,,0.0,2,unresolved
Nurse,,,0.0,1,unresolved
been to a doctor,3.0,Edward George Armstrong,70.59,1,review
The man,,,0.0,4,unresolved
Elliman,,,0.0,1,unresolved
Squally,,,0.0,1,unresolved
Welloff,,,0.0,1,unresolved
Loch Ness monster,,,0.0,1,unresolved
old lady,,,0.0,2,unresolved
Act of God,,,0.0,1,unresolved
sinner,,,0.0,1,unresolved
My dear lady,,,0.0,1,unresolved
Providence,,,0.0,1,unresolved
some unknown lunatic,,,0.0,1,unresolved
his wife,,,0.0,2,unresolved
The little china figures,,,0.0,1,unresolved
The elderly woman,,,0.0,1,unresolved
Our black brothers,,,0.0,1,unresolved
our black brothers,,,0.0,1,unresolved
hysterical,,,0.0,1,unresolved
ex-Scotland Yard man,,,0.0,1,unresolved
Not a nice girl,,,0.0,1,unresolved
loose girl,,,0.0,1,unresolved
in trouble,,,0.0,1,unresolved
Her parents,,,0.0,1,unresolved
The abandoned creature,,,0.0,1,unresolved
The little elderly spinster,,,0.0,1,unresolved
The two men,,,0.0,4,unresolved
My dear fellow,,,0.0,1,unresolved
It,,,0.0,3,unresolved
it,,,0.0,3,unresolved
that woman,,,0.0,1,unresolved
The ardent gardener,,,0.0,1,unresolved
Cyanide,,,0.0,1,unresolved
raving maniac,,,0.0,1,unresolved
big bad wolf,,,0.0,1,unresolved
ga ga,,,0.0,1,unresolved
Somebody,,,0.0,2,unresolved
gentlemen,,,0.0,3,unresolved
lunatic,,,0.0,2,unresolved
Many homicidal lunatics,,,0.0,1,unresolved
Delightful fellows,,,0.0,1,unresolved
The three men,,,0.0,4,unresolved
Damned nuisance,,,0.0,1,unresolved
A face,,,0.0,2,unresolved
an old man,,,0.0,1,unresolved
I sent Richmond to,19.0,Arthur Richmond,76.19,1,review
Curious,,,0.0,1,unresolved
my child,,,0.0,1,unresolved
Good Lord,2.0,Philip Lombard,72.73,1,review
Wonderful animal,,,0.0,1,unresolved
good servant,,,0.0,1,unresolved
His wife,,,0.0,1,unresolved
some one,,,0.0,8,unresolved
the other two,,,0.0,1,unresolved
dead woman,,,0.0,1,unresolved
That chap,,,0.0,1,unresolved
His red-brick face,,,0.0,1,unresolved
my friend,11.0,Fred Narracott,80.0,1,review
little Jewboy,,,0.0,1,unresolved
My dear man,,,0.0,1,unresolved
I'll,,,0.0,1,unresolved
The disappearing Indian boys,,,0.0,1,unresolved
peculiarly unfortunate,,,0.0,1,unresolved
"""he",,,0.0,2,unresolved
The voice,,,0.0,1,unresolved
the old man,,,0.0,1,unresolved
unknown murderer,37.0,Owen,70.97,1,review
A loony,,,0.0,1,unresolved
My dear young lady,,,0.0,2,unresolved
bogus little Indian boy,,,0.0,1,unresolved
one of us,,,0.0,2,unresolved
devil,,,0.0,4,unresolved
speaker,,,0.0,1,unresolved
my dear sir,,,0.0,1,unresolved
Counsel,,,0.0,1,unresolved
my character,,,0.0,1,unresolved
Wife,,,0.0,1,unresolved
A person,36.0,Elsie MacPherson,75.0,1,review
The small sour voice,,,0.0,1,unresolved
jerk,,,0.0,2,unresolved
The remorseless small voice,,,0.0,1,unresolved
none of us,,,0.0,1,unresolved
Any one,,,0.0,1,unresolved
he or she,,,0.0,1,unresolved
me,,,0.0,3,unresolved
one,,,0.0,1,unresolved
the murderer,,,0.0,3,unresolved
Forewarned,,,0.0,1,unresolved
girls,,,0.0,1,unresolved
Miss Vera Claythorne,1.0,Vera Elizabeth Claythorne,85.71,1,review
old man,,,0.0,3,unresolved
God Almighty,,,0.0,2,unresolved
Executioner,,,0.0,1,unresolved
One of us,,,0.0,5,unresolved
lordship,,,0.0,1,unresolved
fiend,,,0.0,1,unresolved
the person in question,,,0.0,1,unresolved
a very cool customer,,,0.0,2,unresolved
weather prophet,,,0.0,1,unresolved
A thoroughly commonplace mind,,,0.0,1,unresolved
one particular person,,,0.0,1,unresolved
His cousin,,,0.0,1,unresolved
THE MURDERER,,,0.0,1,unresolved
The elder woman,27.0,Elmer Robson,80.0,1,review
Scarlet oilsilk,,,0.0,1,unresolved
the two men,,,0.0,1,unresolved
the women,,,0.0,1,unresolved
The four men,,,0.0,1,unresolved
My dear girl,,,0.0,1,unresolved
The Indians,,,0.0,1,unresolved
A bigger chopper,,,0.0,1,unresolved
heavy affair,,,0.0,1,unresolved
The murderer,,,0.0,1,unresolved
A woman,,,0.0,1,unresolved
The girl,,,0.0,3,unresolved
the sane well-balanced girl,,,0.0,1,unresolved
Seven little Indian boys,,,0.0,1,unresolved
efficient games mistress,,,0.0,1,unresolved
Good healthy sensible girl,,,0.0,1,unresolved
Old gentleman,,,0.0,1,unresolved
the daughter,,,0.0,1,unresolved
maid,,,0.0,1,unresolved
Maid,,,0.0,1,unresolved
Daughter,,,0.0,1,unresolved
That girl,,,0.0,2,unresolved
elderly spinsters,,,0.0,1,unresolved
The other,,,0.0,1,unresolved
criminal,,,0.0,2,unresolved
Mean crowd,,,0.0,1,unresolved
Purcell gang,,,0.0,1,unresolved
His,,,0.0,1,unresolved
my girl,,,0.0,4,unresolved
This girl,,,0.0,1,unresolved
Wicked!,,,0.0,1,unresolved
Almost impious,,,0.0,1,unresolved
The damned fool,,,0.0,1,unresolved
Giddy,,,0.0,1,unresolved
The giddiness,,,0.0,1,unresolved
bumblebee,,,0.0,2,unresolved
honey,,,0.0,1,unresolved
somebody,,,0.0,1,unresolved
bee,,,0.0,1,unresolved
righteous spinsters,,,0.0,1,unresolved
murderer,,,0.0,7,unresolved
playful beast,,,0.0,1,unresolved
The five of them,,,0.0,1,unresolved
myself,,,0.0,2,unresolved
sensible young man,,,0.0,1,unresolved
Suspicious devil,,,0.0,1,unresolved
", the judge and",0.0,Lawrence John Wargrave,71.43,1,review
pig-headed fool,,,0.0,1,unresolved
Our murderer,,,0.0,1,unresolved
sixth broken Indian boy,,,0.0,1,unresolved
Her,,,0.0,1,unresolved
bird,,,0.0,1,unresolved
Who,,,0.0,1,unresolved
Afraid of death,,,0.0,1,unresolved
The hearse,,,0.0,1,unresolved
girl,,,0.0,5,unresolved
my dear young lady,,,0.0,1,unresolved
The other four,,,0.0,1,unresolved
Good God,,,0.0,1,unresolved
Young healthy subject,,,0.0,1,unresolved
He himself,,,0.0,1,unresolved
silent staring figure,,,0.0,1,unresolved
drunken man,,,0.0,1,unresolved
God,,,0.0,2,unresolved
the old boy,,,0.0,1,unresolved
each one,,,0.0,1,unresolved
Four frightened people,,,0.0,1,unresolved
Horrid whiny little boy,,,0.0,1,unresolved
your mother,,,0.0,1,unresolved
lark,,,0.0,1,unresolved
untruthful child,,,0.0,1,unresolved
The menace,,,0.0,1,unresolved
old geezer,,,0.0,1,unresolved
Self-righteous,,,0.0,1,unresolved
smug old hypocrite,,,0.0,1,unresolved
Midnight,,,0.0,1,unresolved
Another face,,,0.0,1,unresolved
The revolver,31.0,Oliver,71.43,1,review
Somebody in the house,,,0.0,1,unresolved
Who was it,,,0.0,1,unresolved
fool,,,0.0,1,unresolved
his,,,0.0,1,unresolved
idiot,,,0.0,1,unresolved
Some bright lad,,,0.0,1,unresolved
SOS,,,0.0,1,unresolved
Morse,10.0,Isaac Morris,72.73,1,review
Me,,,0.0,1,unresolved
the devil,,,0.0,2,unresolved
My good blockhead,,,0.0,1,unresolved
A red herring,,,0.0,1,unresolved
horrible child,,,0.0,1,unresolved
People,,,0.0,1,unresolved
lion,,,0.0,1,unresolved
a mad millionaire,,,0.0,1,unresolved
crazy business man,,,0.0,1,unresolved
an escaped inmate of Broadmoor,,,0.0,1,unresolved
They administered justice——,,,0.0,1,unresolved
my good girl,,,0.0,1,unresolved
Priest,,,0.0,1,unresolved
A purple discoloured face,,,0.0,1,unresolved
a hideous drowned face,,,0.0,1,unresolved
marble bear,,,0.0,1,unresolved
a very good one,1.0,Vera Elizabeth Claythorne,75.0,1,review
A wolf,,,0.0,1,unresolved
a wolf,,,0.0,1,unresolved
my dear girl,,,0.0,1,unresolved
The third little figure,,,0.0,1,unresolved
little Indian,,,0.0,1,unresolved
The little china figure,,,0.0,1,unresolved
sleepwalker,,,0.0,1,unresolved
Assistant Commissioner at Scotland Yard,12.0,Thomas Legge,75.86,1,review
"it all, Maine",34.0,Maine,71.43,1,review
Nasty,,,0.0,1,unresolved
Bennito,,,0.0,2,unresolved
The other man,,,0.0,2,unresolved
American,,,0.0,1,unresolved
The men,,,0.0,1,unresolved
boy scouts,,,0.0,1,unresolved
I find,,,0.0,1,unresolved
Well-known man,,,0.0,1,unresolved
commanding officers,,,0.0,1,unresolved
Sort of fellow,,,0.0,1,unresolved
we come to Blore,4.0,William Henry Blore,77.78,1,review
Hams,,,0.0,1,unresolved
Some fanatic,,,0.0,1,unresolved
The Commissioner,12.0,Thomas Legge,70.59,1,review
police surgeon,,,0.0,1,unresolved
First Philip Lombard,2.0,Philip Lombard,82.35,1,review
The Sticklehaven people,,,0.0,1,unresolved
EMMA JANE,,,0.0,1,unresolved
psychologist,,,0.0,1,unresolved
wretched criminal,,,0.0,1,unresolved
Mind you,,,0.0,1,unresolved
innocent man,,,0.0,1,unresolved
the accused,,,0.0,1,unresolved
the artist,,,0.0,1,unresolved
an artist in crime,,,0.0,1,unresolved
My imagination,,,0.0,1,unresolved
adolescent,,,0.0,1,unresolved
The innocent,,,0.0,1,unresolved
It was a doctor,3.0,Edward George Armstrong,75.0,1,review
G.P.,,,0.0,1,unresolved
sister in question,,,0.0,1,unresolved
murderess,,,0.0,1,unresolved
Women,,,0.0,1,unresolved
that kid,,,0.0,1,unresolved
dope pedlar,,,0.0,1,unresolved
My medical adviser,,,0.0,1,unresolved
slight hypochondriac,,,0.0,1,unresolved
amoral,,,0.0,1,unresolved
pagan,,,0.0,1,unresolved
The police,,,0.0,1,unresolved
householders,,,0.0,1,unresolved
ally,,,0.0,1,unresolved
gullible sort of man,,,0.0,1,unresolved
the unknown murderer,37.0,Owen,70.97,1,review
murdered man,,,0.0,1,unresolved
three people,,,0.0,1,unresolved
Exit Blore. ...,4.0,William Henry Blore,74.07,1,review
A daring and resourceful young woman,,,0.0,1,unresolved
artist,,,0.0,1,unresolved
one of the ten people on the island,,,0.0,1,unresolved
red herring,,,0.0,1,unresolved
My hand,,,0.0,1,unresolved
