canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	name_variants_left	canonical_id_right	name_right	role_right	gender_right	name_variants_right
6	John Gordon Macarthur	agent	said	say	5224	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	2	Philip Lombard	patient	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']
6	John Gordon Macarthur	agent	ask	ask	5268	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	2	Philip Lombard	patient	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']
0	Lawrence John Wargrave	agent	looked	look	5522	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
11	Fred Narracott	agent	set	set	6188	True	m	['Fred', 'Fred Narracott', 'Mr. Narracott', 'Narracott']	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
1	Vera Elizabeth Claythorne	agent	followed	follow	6969	False	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	9	Ethel Rogers	patient	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']
1	Vera Elizabeth Claythorne	agent	looked	look	7104	False	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	9	Ethel Rogers	patient	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']
37	Owen	agent	mention	mention	7259	True	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
9	Ethel Rogers	agent	seen	see	7273	True	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
3	Edward George Armstrong	agent	stared	star	8554	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
0	Lawrence John Wargrave	agent	asked	ask	8735	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	8	Thomas Rogers	patient	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']
8	Thomas Rogers	agent	stared	star	8751	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
1	Vera Elizabeth Claythorne	agent	asking	ask	9398	False	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
5	Emily Brent	agent	looked	look	9624	False	f	"['Emily', 'Emily Brent', ""Ma'am"", 'Madam', 'Miss Brent']"	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
1	Vera Elizabeth Claythorne	agent	looked	look	9631	False	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	5	Emily Brent	patient	f	"['Emily', 'Emily Brent', ""Ma'am"", 'Madam', 'Miss Brent']"
5	Emily Brent	agent	say	say	9862	False	f	"['Emily', 'Emily Brent', ""Ma'am"", 'Madam', 'Miss Brent']"	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
3	Edward George Armstrong	agent	came	come	9936	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
2	Philip Lombard	agent	said	say	10530	False	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']	8	Thomas Rogers	patient	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']
3	Edward George Armstrong	agent	stared	star	11044	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
8	Thomas Rogers	agent	speak	speak	11187	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	9	Ethel Rogers	patient	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']
3	Edward George Armstrong	agent	spoke	speak	11255	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	9	Ethel Rogers	patient	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']
3	Edward George Armstrong	agent	bent	bend	11345	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	9	Ethel Rogers	patient	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']
8	Thomas Rogers	agent	stared	star	11468	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
0	Lawrence John Wargrave	agent	looked	look	11726	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	2	Philip Lombard	patient	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']
3	Edward George Armstrong	agent	give	give	11902	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	8	Thomas Rogers	patient	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']
8	Thomas Rogers	agent	tell	tell	12181	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
8	Thomas Rogers	agent	know	know	12187	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
8	Thomas Rogers	agent	seen	see	12212	True	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
8	Thomas Rogers	agent	seen	see	12233	True	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
0	Lawrence John Wargrave	agent	stared	star	12582	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
7	Anthony James Marston	agent	standing	stand	12592	False	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
0	Lawrence John Wargrave	agent	obliged	oblige	12635	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
7	Anthony James Marston	agent	drawn	draw	12644	False	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
0	Lawrence John Wargrave	agent	said	say	12933	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
0	Lawrence John Wargrave	agent	turned	turn	13265	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
7	Anthony James Marston	agent	moved	move	13513	False	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
4	William Henry Blore	agent	said	say	13667	False	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
0	Lawrence John Wargrave	agent	seen	see	13935	True	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	25	Constance Culmington	patient	f	['Constance Culmington', 'Lady Constance', 'Lady Constance Culmington', 'Very vague woman', 'his correspondent']
3	Edward George Armstrong	agent	knows	know	14111	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	6	John Gordon Macarthur	patient	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"
3	Edward George Armstrong	agent	accuses	accuse	14263	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
0	Lawrence John Wargrave	agent	remember	remember	14274	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	13	Edward Seton	patient	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']
13	Edward Seton	agent	came	come	14280	False	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
0	Lawrence John Wargrave	agent	passed	pass	14406	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	13	Edward Seton	patient	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']
3	Edward George Armstrong	agent	met	meet	14435	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	29	Matthews	patient	m	['Matthews']
0	Lawrence John Wargrave	agent	know	know	14553	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	13	Edward Seton	patient	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']
3	Edward George Armstrong	agent	said	say	14595	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	13	Edward Seton	patient	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']
1	Vera Elizabeth Claythorne	agent	swam	swam	14671	False	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	15	Cyril Ogilvie Hamilton	patient	m	['A puny child', 'Cyril', 'Cyril Hamilton', 'Cyril Ogilvie Hamilton', 'You']
6	John Gordon Macarthur	agent	patted	pat	14751	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
2	Philip Lombard	agent	said	say	14841	False	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
9	Ethel Rogers	agent	were	be	15435	False	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']	22	Jennifer Brady	patient	f	['Jennifer Brady', 'Miss Brady']
2	Philip Lombard	agent	looked	look	15551	False	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']	8	Thomas Rogers	patient	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']
2	Philip Lombard	agent	said	say	15658	False	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
18	James Stephen Landor	agent	convicted	convict	15733	False	m	['James Stephen Landor', 'Landor', 'a figure just passing out through the front door', 'brethren discussing the Landor', 'fellow']	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
5	Emily Brent	agent	glanced	glance	15908	False	f	"['Emily', 'Emily Brent', ""Ma'am"", 'Madam', 'Miss Brent']"	3	Edward George Armstrong	patient	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"
3	Edward George Armstrong	agent	killed	kill	16088	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	5	Emily Brent	patient	f	"['Emily', 'Emily Brent', ""Ma'am"", 'Madam', 'Miss Brent']"
8	Thomas Rogers	agent	beg	beg	16468	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	0	Lawrence John Wargrave	patient	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"
3	Edward George Armstrong	agent	went	go	16760	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
3	Edward George Armstrong	agent	peering	peer	16860	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
3	Edward George Armstrong	agent	carried	carry	17442	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
3	Edward George Armstrong	agent	laid	lay	17454	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
3	Edward George Armstrong	agent	said	say	17581	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	8	Thomas Rogers	patient	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']
0	Lawrence John Wargrave	agent	thinking	think	17844	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	13	Edward Seton	patient	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']
0	Lawrence John Wargrave	agent	remembered	remember	17850	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	13	Edward Seton	patient	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']
0	Lawrence John Wargrave	agent	cooked	cook	18140	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	13	Edward Seton	patient	m	['Edward Seton', 'Seton', 'The Seton case!', 'The fellow', 'a rightly convicted murderer']
6	John Gordon Macarthur	agent	liked	like	18248	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
20	Leslie Macarthur	agent	liked	like	18264	False	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
20	Leslie Macarthur	agent	teased	tease	18329	False	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
20	Leslie Macarthur	agent	made	make	18332	False	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
20	Leslie Macarthur	agent	ragged	rag	18337	False	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
19	Arthur Richmond	agent	was	be	18372	False	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']	20	Leslie Macarthur	patient	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"
6	John Gordon Macarthur	agent	loved	love	18385	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	20	Leslie Macarthur	patient	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"
6	John Gordon Macarthur	agent	see	see	18390	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	20	Leslie Macarthur	patient	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"
6	John Gordon Macarthur	agent	loved	love	18416	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	20	Leslie Macarthur	patient	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"
6	John Gordon Macarthur	agent	believed	believe	18421	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	20	Leslie Macarthur	patient	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"
6	John Gordon Macarthur	agent	taken	take	18448	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	20	Leslie Macarthur	patient	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"
20	Leslie Macarthur	agent	put	put	18497	False	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
28	Armitage	agent	looked	look	18669	False	m	['Armitage', 'that boy', 'young Armitage']	6	John Gordon Macarthur	patient	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"
28	Armitage	agent	sent	send	18705	False	m	['Armitage', 'that boy', 'young Armitage']	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
20	Leslie Macarthur	agent	wept	weep	18853	False	f	"['Leslie', ""Stealer of another man's wife"", 'my wife']"	19	Arthur Richmond	patient	m	['Arthur', 'Arthur Richmond', 'Richmond', 'her lover', 'the boy']
14	Hugo Hamilton	agent	love	love	19757	False	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
14	Hugo Hamilton	agent	love	love	19761	False	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
14	Hugo Hamilton	agent	love	love	19767	False	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
14	Hugo Hamilton	agent	ask marry	ask marry	19789	True	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
1	Vera Elizabeth Claythorne	agent	remembered	remember	20077	False	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	7	Anthony James Marston	patient	m	['Anthony', 'Anthony James Marston', 'Anthony Marston', 'Marston', 'Mr. Marston']
3	Edward George Armstrong	agent	followed	follow	20672	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	8	Thomas Rogers	patient	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']
8	Thomas Rogers	agent	stared	star	20947	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	3	Edward George Armstrong	patient	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"
4	William Henry Blore	agent	said	say	21296	False	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']	2	Philip Lombard	patient	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']
3	Edward George Armstrong	agent	turned	turn	21862	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	5	Emily Brent	patient	f	"['Emily', 'Emily Brent', ""Ma'am"", 'Madam', 'Miss Brent']"
9	Ethel Rogers	agent	accused	accuse	21897	False	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']	8	Thomas Rogers	patient	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']
3	Edward George Armstrong	agent	bet	bet	22208	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
8	Thomas Rogers	agent	assures	assure	22225	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	3	Edward George Armstrong	patient	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"
3	Edward George Armstrong	agent	looked	look	22256	False	m	"['""Any doctor been', 'Armstrong', 'Doctor', 'Dr. Armstrong', 'Edward George Armstrong']"	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
8	Thomas Rogers	agent	polished	polish	22322	False	m	['I think you', 'I.', 'Mr. and Mrs. Rogers', 'Rogers', 'Rogers woman']	9	Ethel Rogers	patient	f	['Ethel', 'Ethel Rogers', 'His wife', 'Mother Rogers', 'Mrs. Rogers']
4	William Henry Blore	agent	looked	look	23001	False	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']	2	Philip Lombard	patient	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']
